Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²
0	9.61	0.48	7.31	-6.22
0.025	9.610	0.480	7.310	-6.220
0.050	9.610	0.480	7.310	-6.220
0.075	9.610	0.480	7.310	-6.220
0.100	10.230	0.680	7.970	-6.380
0.125	8.790	0.650	6.300	-6.100
0.150	9.140	0.460	6.500	-6.410
0.175	10.140	0.580	8.030	-6.160
0.200	9.920	0.550	7.610	-6.330
0.225	9.730	0.480	7.530	-6.150
0.250	9.580	0.510	7.200	-6.300
0.275	9.710	0.540	7.410	-6.250
0.300	9.750	0.530	7.470	-6.240
0.325	9.720	0.500	7.410	-6.260
0.350	9.660	0.550	7.360	-6.220
0.375	9.660	0.510	7.370	-6.210
0.400	9.760	0.530	7.490	-6.230
0.425	9.740	0.550	7.450	-6.250
0.450	9.680	0.540	7.340	-6.280
0.475	9.620	0.490	7.280	-6.270
0.500	9.710	0.520	7.430	-6.230
0.525	9.860	0.530	7.620	-6.240
0.550	9.750	0.530	7.470	-6.250
0.575	9.610	0.490	7.300	-6.230
0.600	9.650	0.520	7.330	-6.260
0.625	9.490	0.580	6.890	-6.500
0.650	9.800	0.600	6.610	-7.210
0.675	5.450	0.180	1.030	-5.350
0.700	8.010	-1.630	1.500	-7.700
0.725	8.040	1.070	1.820	-7.760
0.750	9.750	1.360	2.830	-9.230
0.775	1.930	0.640	1.610	-0.840
0.800	6.040	0.570	1.140	-5.900
0.825	6.310	0.190	2.120	-5.940
0.850	9.260	0.380	2.310	-8.960
0.875	2.040	0.990	-0.990	-1.480
0.900	6.070	0.510	2.140	-5.660
0.925	6.890	0.230	0.940	-6.830
0.950	17.380	0.630	3.350	-17.040
0.975	17.900	1.630	4.440	-17.260
1.000	4.130	3.070	-2.760	0.040
1.025	4.410	-1.350	0.560	-4.170
1.050	14.770	-0.170	4.820	-13.960
1.075	7.970	3.280	1.920	-7.010
1.100	9.410	-2.940	4.230	-7.880
1.125	2.670	0.220	2.290	-1.360
1.150	7.170	-0.930	3.980	-5.880
1.175	2.740	-0.370	-2.140	-1.680
1.200	10.600	-4.470	-1.200	9.540
1.225	14.710	-0.540	5.590	-13.590
1.250	5.650	-0.720	0.760	-5.560
1.275	12.630	-2.660	2.050	12.170
1.300	8.160	6.150	2.570	-4.710
1.325	23.170	-1.920	8.700	-21.390
1.350	39.270	-5.090	9.930	-37.650
1.375	20.730	-0.840	6.140	-19.780
1.400	14.590	-1.910	3.300	-14.080
1.425	19.430	-0.720	4.580	-18.870
1.450	8.060	-7.630	-2.280	1.250
1.475	46.630	-6.340	24.360	-39.260
1.500	7.030	1.070	1.570	6.770
1.525	11.610	-2.740	3.680	-10.660
1.550	7.650	-6.520	1.330	3.770
1.575	5.180	-1.650	1.190	-4.760
1.600	15.740	-4.780	3.240	-14.640
1.625	1.050	0.620	0.820	0.190
1.650	8.610	-0.450	2.050	-8.350
1.675	4.810	-3.010	-1.250	3.540
1.700	21.930	2.190	6.490	-20.830
1.725	27.210	-6.350	6.890	-25.540
1.750	12.360	11.040	5.480	-0.900
1.775	12.340	3.990	0.190	-11.670
1.800	22.600	1.580	5.120	-21.950
1.825	9.890	-9.860	0.800	0.110
1.850	10.330	-4.480	-0.020	9.310
1.875	38.640	6.980	15.440	-34.720
1.900	14.560	3.080	5.040	13.300
1.925	103.670	59.290	34.220	-77.850
1.950	86.880	-20.660	36.500	-76.080
1.975	57.110	-32.390	17.180	-43.790
2.000	13.890	-4.220	12.590	4.070
2.025	3.840	2.630	1.420	2.400
2.050	1.500	1.200	0.420	0.800
2.075	2.190	1.810	0.250	1.190
2.100	100.460	-75.760	-13.450	-64.590
2.125	34.100	5.830	27.240	-19.670
2.150	55.660	19.880	46.110	-24.020
2.175	2.210	0.080	1.570	1.550
2.200	0.860	-0.190	0.530	0.650
2.225	0.780	-0.050	0.580	0.520
2.250	9.640	-5.480	-7.660	-2.060
2.275	11.450	-7.730	-7.950	-2.860
2.300	3.220	-2.550	-0.170	1.950
2.325	2.570	-0.230	1.730	1.890
2.350	2.590	-0.180	1.770	1.880
2.375	2.540	-0.010	1.780	1.810
2.400	2.530	0.160	1.800	1.780
2.425	2.530	0.220	1.850	1.710
2.450	2.510	0.230	1.850	1.690
2.475	2.530	0.420	1.870	1.660
2.500	2.590	0.500	1.890	1.690
2.525	110.480	-64.560	51.660	73.270
2.550	5.320	0.240	3.220	4.230
2.575	4.990	-0.910	4.710	1.360
2.600	6.360	-3.490	2.260	4.810
2.625	16.440	-0.720	-15.020	6.660
2.650	3.190	0.540	3.030	0.870
2.675	12.200	-8.180	1.220	8.970
2.700	2.530	-0.890	-2.110	-1.080
2.725	38.050	-10.310	-10.650	35.050
2.750	40.240	-9.320	-11.730	37.350
2.775	4.170	-1.660	-2.090	-3.200
2.800	5.880	-2.290	-3.760	-3.890
2.825	7.240	-2.060	-4.490	-5.280
2.850	8.660	-1.630	-4.020	7.500
2.875	12.540	-1.200	-1.360	12.410
2.900	38.080	32.860	3.520	18.920
2.925	14.880	-5.200	-2.000	13.800
2.950	7.080	-1.850	-0.420	6.830
2.975	7.960	-2.810	-2.440	7.030
3.000	6.230	-1.700	-1.030	5.910
3.025	19.310	-5.820	-2.160	18.280
3.050	10.430	0.250	-2.100	10.220
3.075	7.970	-1.840	-2.600	7.300
3.100	12.200	-3.050	1.810	11.670
3.125	11.900	-2.450	-1.510	11.540
3.150	8.960	0.660	-0.900	8.890
3.175	10.130	1.770	-0.290	9.970
3.200	9.200	0.770	-0.390	9.160
3.225	12.350	0.430	-3.050	11.960
3.250	10.420	-2.340	-1.480	10.040
3.275	8.480	0.060	0.110	8.480
3.300	8.600	-0.860	-0.690	8.530
3.325	15.170	-3.390	-2.590	14.560
3.350	19.150	-3.860	-3.950	18.330
3.375	19.040	-3.380	-5.650	17.860
3.400	18.610	-3.730	-5.030	17.530
3.425	19.180	-5.160	-5.430	17.650
3.450	23.990	0.390	-12.340	20.560
3.475	22.120	-0.790	-13.260	17.690
3.500	15.400	2.570	-8.320	12.700
3.525	6.980	-0.370	-2.730	6.420
3.550	1.480	-0.520	1.020	0.940
3.575	3.570	-0.170	3.460	-0.840
3.600	7.320	-3.230	4.620	-4.670
3.625	7.220	-2.780	3.560	-5.640
3.650	5.470	0.450	1.260	-5.300
3.675	5.830	0.030	1.620	-5.600
3.700	11.910	-1.380	4.120	-11.090
3.725	14.410	1.860	4.200	-13.660
3.750	12.010	1.280	1.740	-11.810
3.775	10.650	-0.980	1.230	-10.530
3.800	9.340	-2.020	0.110	-9.120
3.825	8.670	-1.970	-0.520	-8.420
3.850	9.470	-2.680	-0.240	-9.080
3.875	9.200	-3.430	0.040	-8.540
3.900	8.900	-3.830	-0.370	-8.030
3.925	10.090	-3.020	-0.880	-9.580
3.950	10.710	-2.110	-1.500	-10.390
3.975	9.620	-2.330	-0.340	-9.320
4.000	9.030	-2.100	-0.080	-8.780
4.025	9.790	-2.590	-0.560	-9.420
4.050	10.230	-3.020	-0.260	-9.770
4.075	9.540	-2.400	-0.690	-9.210
4.100	9.280	-2.720	-1.260	-8.780
4.125	9.270	-3.220	-1.760	-8.520
4.150	9.380	-3.500	-2.130	-8.430
4.175	9.910	-2.600	-2.270	-9.290
4.200	9.010	-1.530	-1.570	-8.740
4.225	8.840	-1.980	-2.330	-8.300
4.250	9.670	-2.250	-3.350	-8.780
4.275	10.780	-2.710	-2.930	-10.020
