t in s;r_x (m);r_y (m);r_z (m);v_x (m/s);v_y (m/s);v_z (m/s);a_x (m/s2);a_y (m/s2);a_z (m/s2);der(3)(r_x) (m/s3);der(3)(r_y) (m/s3);der(3)(r_z) (m/s3)
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.92;-8.03;-4.5;-0.3220000000000001;1.0610000000000006;-3.460000000000001
0.5263157894736841;0.11568741799096073;-1.0735165476016906;-0.7493803761481261;0.4396121883656509;-4.079362880886425;-2.84764542936288;0.7505263157894737;-7.47157894736842;-6.321052631578947;-0.3220000000000001;1.0610000000000006;-3.460000000000001
1.5526315789473673;0.9194316317976369;-9.314627997885975;-7.2042415530689485;1.126658587257617;-11.98023891966758;-9.731058402585402;0.5883333333333334;-7.924999999999999;-7.092777777777778;-0.15803418803418817;-0.44179487179487203;-0.7519373219373231
2.526315789473684;2.36975666720982;-24.669715557275538;-20.051489281769953;1.8523874314268645;-19.55994093205149;-16.657882877989607;0.9023529411764708;-7.644117647058826;-7.1352941176470575;0.32250662427133;0.288473767885529;-0.04366543013601662
3.500000000000003;4.582937700168767;-47.41596832247511;-39.74545653276748;2.6936060416779855;-27.162091774844775;-23.7945903943295;0.8255555555555555;-7.97111111111111;-7.523888888888888;-0.07887299063769655;-0.3358311252428856;-0.39909733262674374
4.526315789473687;7.803344972423055;-79.35190724199977;-68.08921355177642;3.58205941194576;-35.07204560679306;-31.439397642713615;0.9057894736842108;-7.443157894736843;-7.373684210526317;0.07817663817663857;0.5144159544159528;0.1463532763532744
5.5526315789473655;11.857610724411977;-119.40961404860687;-104.15621544066417;4.318561027827566;-42.98912663172377;-38.84501629460647;0.5294444444444444;-7.985000000000001;-7.057777777777778;-0.366695156695159;-0.527948717948721;0.30780626780627063
6.552631578947358;16.51436619668395;-166.36749068033026;-146.5963706241592;4.9949499167164495;-50.926626631723714;-46.03529407238419;0.8233333333333331;-7.889999999999999;-7.322777777777778;0.29388888888889086;0.0950000000000031;-0.26500000000000157
7.552631578947353;21.965982780067037;-221.127450645387;-196.23999802987643;5.908283250049777;-58.593293298390336;-53.251960739050816;1.003333333333333;-7.443333333333332;-7.110555555555557;0.1800000000000008;0.4466666666666696;0.2122222222222219
8.552631578947349;28.22093269678345;-283.51810505488817;-253.00570876892698;6.601616583383107;-66.18801552061252;-60.27946073905078;0.3833333333333334;-7.746111111111111;-6.9444444444444455;-0.6200000000000023;-0.30277777777778114;0.16611111111111207
9.552631578947343;35.072827057944295;-353.57820390883364;-316.7378083968663;7.10217213893866;-73.93218218727915;-67.18473851682853;0.6177777777777778;-7.742222222222222;-6.866111111111113;0.2344444444444456;0.0038888888888895176;0.07833333333333267
10.55263157894734;42.43513808577182;-431.3891360961125;-387.4014358025834;7.622449916716436;-81.68968218727913;-74.14251629460628;0.42277777777777775;-7.772777777777778;-7.049444444444447;-0.1950000000000007;-0.030555555555556;-0.1833333333333342
11.552631578947336;50.16856022471045;-517.0056238389469;-465.03089654163387;7.844394361160879;-89.54329329839021;-81.11640518349515;0.021111111111111105;-7.934444444444443;-6.8983333333333325;-0.4016666666666681;-0.16166666666666588;0.15111111111111483
12.552631578947327;58.12045458587126;-610.4275282484474;-549.596329502906;8.059394361160876;-97.30051552061236;-88.01446073905063;0.4088888888888889;-7.58;-6.897777777777778;0.3877777777777813;0.35444444444444617;0.0005555555555547592
13.552631578947326;66.25693228036545;-711.7465159912817;-641.0556513530676;8.213561027827543;-105.3374599650568;-94.90418296127284;-0.1005555555555556;-8.49388888888889;-6.881666666666668;-0.5094444444444454;-0.9138888888888913;0.016111111111110105
14.552631578947315;74.63035441930401;-821.2685592896706;-739.3260843143394;8.533283250049761;-113.70662663172337;-101.63668296127277;0.7400000000000001;-8.244444444444445;-6.583333333333332;0.8405555555555647;0.24944444444444702;0.2983333333333387
15.552631578947306;83.56891544713147;-939.0610192547263;-844.3004061645;9.34383880560531;-121.87829329838996;-108.31196073905049;0.8811111111111108;-8.09888888888889;-6.767222222222222;0.141111111111112;0.14555555555555652;-0.18388888888889174
16.552631578947324;93.32775425273697;-1064.9436181086742;-955.934311347997;10.173838805605325;-129.88690440950123;-114.9558496279395;0.7788888888888891;-7.918333333333332;-6.520555555555554;-0.10222222222221995;0.1805555555555548;0.24666666666666354
