Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²

0.0	9.92	-1.05	-7.60	-6.29
0.05263157894736842	9.92	-1.05	-7.60	-6.29
0.10526315789473684	10.51	-1.16	-7.73	-7.02
0.15789473684210525	10.11	-0.84	-7.42	-6.81
0.21052631578947367	10.14	-1.01	-7.64	-6.60
0.2631578947368421	10.02	-0.95	-7.61	-6.45
0.3157894736842105	9.92	-0.99	-7.73	-6.13
0.3684210526315789	9.80	-0.87	-7.67	-6.04
0.42105263157894735	10.01	-0.92	-7.86	-6.14
0.47368421052631576	9.97	-0.97	-7.69	-6.27
0.5263157894736842	10.17	-1.14	-7.70	-6.54
0.5789473684210527	10.11	-1.03	-7.82	-6.34
0.631578947368421	10.20	-0.63	-7.63	-6.74
0.6842105263157894	10.04	-1.09	-7.78	-6.26
0.7368421052631577	10.04	-0.94	-8.12	-5.83
0.7894736842105261	10.33	-0.63	-8.13	-6.35
0.8421052631578945	10.06	-0.84	-7.73	-6.39
0.8947368421052628	10.01	-0.91	-7.73	-6.29
0.9473684210526312	9.92	-0.85	-7.90	-5.94
0.9999999999999996	9.90	-0.51	-7.73	-6.18
1.052631578947368	10.08	-0.80	-7.80	-6.34
1.1052631578947363	10.02	-0.62	-7.54	-6.58
1.1578947368421046	9.95	-0.19	-7.26	-6.80
1.210526315789473	10.02	-0.69	-7.43	-6.68
1.2631578947368414	9.97	-0.95	-7.64	-6.33
1.3157894736842097	10.13	-0.20	-7.80	-6.46
1.368421052631578	9.96	-0.79	-7.83	-6.11
1.4210526315789465	10.27	-0.92	-8.08	-6.28
1.4736842105263148	9.92	-0.69	-7.96	-5.88
1.5263157894736832	9.91	-0.86	-7.92	-5.90
1.5789473684210515	10.11	-0.63	-8.14	-5.96
1.63157894736842	10.11	-0.48	-7.84	-6.37
1.6842105263157883	10.30	-0.70	-8.23	-6.15
1.7368421052631566	10.09	-0.35	-7.60	-6.63
1.789473684210525	9.97	-0.26	-7.86	-6.13
1.8421052631578934	9.65	-0.25	-7.05	-6.58
1.8947368421052617	9.93	-0.68	-7.79	-6.13
1.94736842105263	10.34	-0.26	-7.70	-6.89
1.9999999999999984	9.82	-0.29	-7.83	-5.91
2.052631578947367	10.36	-0.08	-8.13	-6.42
2.1052631578947354	10.08	0.07	-7.31	-6.95
2.157894736842104	9.59	0.09	-7.44	-6.06
2.2105263157894726	10.42	-0.01	-7.47	-7.27
2.263157894736841	10.19	0.28	-7.40	-7.00
2.3157894736842097	10.11	0.35	-7.40	-6.88
2.3684210526315783	10.29	0.14	-7.25	-7.30
2.421052631578947	9.76	0.20	-7.06	-6.73
2.4736842105263155	9.84	0.10	-7.07	-6.84
2.526315789473684	10.24	-0.01	-7.11	-7.37
2.5789473684210527	9.84	0.18	-6.80	-7.11
2.6315789473684212	10.02	0.04	-6.90	-7.27
2.68421052631579	9.75	0.33	-6.28	-7.45
2.7368421052631584	9.49	0.34	-6.63	-6.78
2.789473684210527	9.88	0.24	-6.71	-7.24
2.8421052631578956	10.40	-0.03	-7.29	-7.41
2.894736842105264	10.25	0.22	-6.89	-7.59
2.9473684210526327	9.67	0.08	-6.66	-7.00
3.0000000000000013	10.13	-0.09	-6.91	-7.42
3.05263157894737	10.32	-0.34	-6.99	-7.59
3.1052631578947385	10.39	-0.42	-7.09	-7.59
3.157894736842107	10.45	0.05	-7.17	-7.60
3.2105263157894757	9.37	-0.14	-6.97	-6.26
3.2631578947368443	9.96	0.05	-6.20	-7.79
3.315789473684213	9.86	-0.27	-6.53	-7.38
